query,_id,_score,name,summary,symbol
ENSG00000139574,8620,19.698988,neuropeptide FF-amide peptide precursor,"This gene encodes a member of the FMRFamide related peptide (FARP) family of neuropeptides. The encoded preproprotein is proteolytically processed to generate multiple amidated peptides. These peptides may play a role in the regulation of heart rate and blood pressure and the modulation of morphine-induced antinociception. Patients with hypertension exhibit decreased expression of the encoded protein. Alternative splicing results in multiple transcript variants, at least one of which encodes an isoform that is proteolytically processed. [provided by RefSeq, Feb 2016].",NPFF
ENSG00000177200,80205,21.011106,chromodomain helicase DNA binding protein 9,,CHD9
ENSG00000170801,94031,19.69661,HtrA serine peptidase 3,,HTRA3
ENSG00000137070,3590,19.658693,interleukin 11 receptor subunit alpha,"Interleukin 11 is a stromal cell-derived cytokine that belongs to a family of pleiotropic and redundant cytokines that use the gp130 transducing subunit in their high affinity receptors. This gene encodes the IL-11 receptor, which is a member of the hematopoietic cytokine receptor family. This particular receptor is very similar to ciliary neurotrophic factor, since both contain an extracellular region with a 2-domain structure composed of an immunoglobulin-like domain and a cytokine receptor-like domain. Multiple alternatively spliced transcript variants have been found for this gene. [provided by RefSeq, Jun 2012].",IL11RA
ENSG00000130829,1852,19.301373,dual specificity phosphatase 9,"The protein encoded by this gene is a member of the dual specificity protein phosphatase subfamily. These phosphatases inactivate their target kinases by dephosphorylating both the phosphoserine/threonine and phosphotyrosine residues. They negatively regulate members of the mitogen-activated protein (MAP) kinase superfamily (MAPK/ERK, SAPK/JNK, p38), which is associated with cellular proliferation and differentiation. Different members of the family of dual specificity phosphatases show distinct substrate specificities for various MAP kinases, different tissue distribution and subcellular localization, and different modes of inducibility of their expression by extracellular stimuli. This gene product shows selectivity for members of the ERK family of MAP kinases and is localized to the cytoplasm and nucleus. Aberrant expression of this gene is associated with type 2 diabetes and cancer progression in several cell types. Alternate splicing results in multiple transcript variants. [provided by RefSeq, Jan 2016].",DUSP9
ENSG00000248098,593,19.22364,branched chain keto acid dehydrogenase E1 subunit alpha,"The branched-chain alpha-keto acid (BCAA) dehydrogenase (BCKD) complex is an innter mitochondrial enzyme complex that catalyzes the second major step in the catabolism of the branched-chain amino acids leucine, isoleucine, and valine. The BCKD complex consists of three catalytic components: a heterotetrameric (alpha2-beta2) branched-chain alpha-keto acid decarboxylase (E1), a dihydrolipoyl transacylase (E2), and a dihydrolipoamide dehydrogenase (E3). This gene encodes the alpha subunit of the decarboxylase (E1) component. Mutations in this gene result in maple syrup urine disease, type IA. Multiple transcript variants encoding different isoforms have been found for this gene.[provided by RefSeq, Sep 2009].",BCKDHA
ENSG00000011201,3730,20.97127,anosmin 1,"Mutations in this gene cause the X-linked Kallmann syndrome. The encoded protein is similar in sequence to proteins known to function in neural cell adhesion and axonal migration. In addition, this cell surface protein is N-glycosylated and may have anti-protease activity. [provided by RefSeq, Jul 2008].",ANOS1
ENSG00000064205,8839,19.606441,cellular communication network factor 5,"This gene encodes a member of the WNT1 inducible signaling pathway (WISP) protein subfamily, which belongs to the connective tissue growth factor (CTGF) family. WNT1 is a member of a family of cysteine-rich, glycosylated signaling proteins that mediate diverse developmental processes. The CTGF family members are characterized by four conserved cysteine-rich domains: insulin-like growth factor-binding domain, von Willebrand factor type C module, thrombospondin domain and C-terminal cystine knot-like (CT) domain. The encoded protein lacks the CT domain which is implicated in dimerization and heparin binding. It is 72% identical to the mouse protein at the amino acid level. This gene may be downstream in the WNT1 signaling pathway that is relevant to malignant transformation. Its expression in colon tumors is reduced while the other two WISP members are overexpressed in colon tumors. It is expressed at high levels in bone tissue, and may play an important role in modulating bone turnover. [provided by RefSeq, Jul 2008].",CCN5
ENSG00000108091,8030,20.21515,coiled-coil domain containing 6,"This gene encodes a coiled-coil domain-containing protein. The encoded protein is ubiquitously expressed and may function as a tumor suppressor. A chromosomal rearrangement resulting in the expression of a fusion gene containing a portion of this gene and the intracellular kinase-encoding domain of the ret proto-oncogene is the cause of thyroid papillary carcinoma.[provided by RefSeq, Sep 2010].",CCDC6
ENSG00000196711,389658,20.150566,ALK and LTK ligand 1,,ALKAL1
ENSG00000256235,85027,21.011843,small integral membrane protein 3,,SMIM3
ENSG00000110171,10612,19.60064,tripartite motif containing 3,"The protein encoded by this gene is a member of the tripartite motif (TRIM) family, also called the 'RING-B-box-coiled-coil' (RBCC) subgroup of RING finger proteins. The TRIM motif includes three zinc-binding domains, a RING, a B-box type 1 and a B-box type 2, and a coiled-coil region. This protein localizes to cytoplasmic filaments. It is similar to a rat protein which is a specific partner for the tail domain of myosin V, a class of myosins which are involved in the targeted transport of organelles. The rat protein can also interact with alpha-actinin-4. Thus it is suggested that this human protein may play a role in myosin V-mediated cargo transport. Alternatively spliced transcript variants encoding the same isoform have been identified. [provided by RefSeq, Jul 2008].",TRIM3
ENSG00000172671,93550,20.97127,zinc finger AN1-type containing 4,,ZFAND4
ENSG00000260729,ENSG00000260729,21.011106,,,AC009690.1
ENSG00000136738,8027,19.61368,signal transducing adaptor molecule,"This gene encodes a member of the signal-transducing adaptor molecule family. These proteins mediate downstream signaling of cytokine receptors and also play a role in ER to Golgi trafficking by interacting with the coat protein II complex. The encoded protein also associates with hepatocyte growth factor-regulated substrate to form the endosomal sorting complex required for transport-0 (ESCRT-0), which sorts ubiquitinated membrane proteins to the ESCRT-1 complex for lysosomal degradation. Alternatively spliced transcript variants have been observed for this gene. [provided by RefSeq, Feb 2011].",STAM
ENSG00000179295,5781,18.740473,protein tyrosine phosphatase non-receptor type 11,"The protein encoded by this gene is a member of the protein tyrosine phosphatase (PTP) family. PTPs are known to be signaling molecules that regulate a variety of cellular processes including cell growth, differentiation, mitotic cycle, and oncogenic transformation. This PTP contains two tandem Src homology-2 domains, which function as phospho-tyrosine binding domains and mediate the interaction of this PTP with its substrates. This PTP is widely expressed in most tissues and plays a regulatory role in various cell signaling events that are important for a diversity of cell functions, such as mitogenic activation, metabolic control, transcription regulation, and cell migration. Mutations in this gene are a cause of Noonan syndrome as well as acute myeloid leukemia. [provided by RefSeq, Aug 2016].",PTPN11
ENSG00000197980,389170,20.92489,"leucine, glutamate and lysine rich 1",,LEKR1
ENSG00000127124,59269,20.134708,human immunodeficiency virus type I enhancer binding protein 3,"This gene encodes a member of the human immunodeficiency virus type 1 enhancer-binding protein family. Members of this protein family contain multiple zinc finger and acid-rich (ZAS) domains and serine-threonine rich regions. This protein acts as a transcription factor and is able to regulate nuclear factor kappaB-mediated transcription by binding the kappaB motif in target genes. This protein also binds the recombination signal sequence that flanks the V, D, and J regions of immunoglobulin and T-cell receptors. Alternate splicing results in both coding and non-coding transcript variants. [provided by RefSeq, Sep 2011].",HIVEP3
ENSG00000101444,191,20.057407,adenosylhomocysteinase,"S-adenosylhomocysteine hydrolase belongs to the adenosylhomocysteinase family. It catalyzes the reversible hydrolysis of S-adenosylhomocysteine (AdoHcy) to adenosine (Ado) and L-homocysteine (Hcy). Thus, it regulates the intracellular S-adenosylhomocysteine (SAH) concentration thought to be important for transmethylation reactions. Deficiency in this protein is one of the different causes of hypermethioninemia. Alternatively spliced transcript variants encoding different isoforms have been found for this gene. [provided by RefSeq, Jun 2009].",AHCY
ENSG00000175877,135886,20.184536,transmembrane protein 270,,TMEM270
ENSG00000113460,55299,20.15672,biogenesis of ribosomes BRX1,,BRIX1
ENSG00000038945,4481,20.126312,macrophage scavenger receptor 1,"This gene encodes the class A macrophage scavenger receptors, which include three different types (1, 2, 3) generated by alternative splicing of this gene. These receptors or isoforms are macrophage-specific trimeric integral membrane glycoproteins and have been implicated in many macrophage-associated physiological and pathological processes including atherosclerosis, Alzheimer's disease, and host defense. The isoforms type 1 and type 2 are functional receptors and are able to mediate the endocytosis of modified low density lipoproteins (LDLs). The isoform type 3 does not internalize modified LDL (acetyl-LDL) despite having the domain shown to mediate this function in the types 1 and 2 isoforms. It has an altered intracellular processing and is trapped within the endoplasmic reticulum, making it unable to perform endocytosis. The isoform type 3 can inhibit the function of isoforms type 1 and type 2 when co-expressed, indicating a dominant negative effect and suggesting a mechanism for regulation of scavenger receptor activity in macrophages. [provided by RefSeq, Jul 2008].",MSR1
ENSG00000118705,6185,19.621964,ribophorin II,"This gene encodes a type I integral membrane protein found only in the rough endoplasmic reticulum. The encoded protein is part of an N-oligosaccharyl transferase complex that links high mannose oligosaccharides to asparagine residues found in the Asn-X-Ser/Thr consensus motif of nascent polypeptide chains. This protein is similar in sequence to the yeast oligosaccharyl transferase subunit SWP1. Alternatively spliced transcript variants encoding different isoforms have been found for this gene. [provided by RefSeq, Oct 2008].",RPN2
ENSG00000188293,374918,19.54568,IGF like family member 1,"The protein encoded by this gene is a member of the insulin-like growth factor family of signaling molecules. The encoded protein is synthesized as a precursor protein and is proteolytically cleaved to form a secreted mature peptide. The mature peptide binds to a receptor, which in mouse was found on the cell surface of T cells. Increased expression of this gene may be linked to psoriasis. [provided by RefSeq, Aug 2016].",IGFL1
ENSG00000131969,145447,20.127895,abhydrolase domain containing 12B,,ABHD12B
ENSG00000176986,9632,20.951118,"SEC24 homolog C, COPII coat complex component","The protein encoded by this gene is a member of the SEC24 subfamily of the SEC23/SEC24 family, which is involved in vesicle trafficking. The encoded protein has similarity to yeast Sec24p component of COPII. COPII is the coat protein complex responsible for vesicle budding from the ER. The product of this gene may play a role in shaping the vesicle, as well as in cargo selection and concentration. Alternatively spliced transcript variants encoding the same protein have been identified. [provided by RefSeq, Jul 2008].",SEC24C
ENSG00000115507,5013,21.005186,orthodenticle homeobox 1,"This gene encodes a member of the bicoid sub-family of homeodomain-containing transcription factors. The encoded protein acts as a transcription factor and may play a role in brain and sensory organ development. A similar protein in mouse is required for proper brain and sensory organ development and can cause epilepsy. Alternative splicing results in multiple transcript variants. [provided by RefSeq, Jan 2015].",OTX1
ENSG00000117713,8289,19.53067,AT-rich interaction domain 1A,"This gene encodes a member of the SWI/SNF family, whose members have helicase and ATPase activities and are thought to regulate transcription of certain genes by altering the chromatin structure around those genes. The encoded protein is part of the large ATP-dependent chromatin remodeling complex SNF/SWI, which is required for transcriptional activation of genes normally repressed by chromatin. It possesses at least two conserved domains that could be important for its function. First, it has a DNA-binding domain that can specifically bind an AT-rich DNA sequence known to be recognized by a SNF/SWI complex at the beta-globin locus. Second, the C-terminus of the protein can stimulate glucocorticoid receptor-dependent transcriptional activation. It is thought that the protein encoded by this gene confers specificity to the SNF/SWI complex and may recruit the complex to its targets through either protein-DNA or protein-protein interactions. Two transcript variants encoding different isoforms have been found for this gene. [provided by RefSeq, Jul 2008].",ARID1A
ENSG00000172031,253152,20.220062,epoxide hydrolase 4,,EPHX4
ENSG00000139514,6541,20.139635,solute carrier family 7 member 1,,SLC7A1
ENSG00000139631,51380,20.127895,cysteine sulfinic acid decarboxylase,"This gene encodes a member of the group 2 decarboxylase family. A similar protein in rodents plays a role in multiple biological processes as the rate-limiting enzyme in taurine biosynthesis, catalyzing the decarboxylation of cysteinesulfinate to hypotaurine. Alternatively spliced transcript variants encoding multiple isoforms have been observed for this gene. [provided by RefSeq, Sep 2011].",CSAD
ENSG00000114686,11222,20.127974,mitochondrial ribosomal protein L3,"Mammalian mitochondrial ribosomal proteins are encoded by nuclear genes and help in protein synthesis within the mitochondrion. Mitochondrial ribosomes (mitoribosomes) consist of a small 28S subunit and a large 39S subunit. They have an estimated 75% protein to rRNA composition compared to prokaryotic ribosomes, where this ratio is reversed. Another difference between mammalian mitoribosomes and prokaryotic ribosomes is that the latter contain a 5S rRNA. Among different species, the proteins comprising the mitoribosome differ greatly in sequence, and sometimes in biochemical properties, which prevents easy recognition by sequence homology. This gene encodes a 39S subunit protein that belongs to the L3P ribosomal protein family. A pseudogene corresponding to this gene is found on chromosome 13q. [provided by RefSeq, Jul 2008].",MRPL3
ENSG00000163424,152405,20.994858,testis expressed 55,,TEX55
ENSG00000151364,65987,20.915365,potassium channel tetramerization domain containing 14,,KCTD14
ENSG00000116871,55700,19.632963,MAP7 domain containing 1,,MAP7D1
ENSG00000173261,153770,20.221489,PLAC8 like 1,,PLAC8L1
ENSG00000260220,399693,20.927956,coiled-coil domain containing 187,,CCDC187
ENSG00000111642,1108,19.659771,chromodomain helicase DNA binding protein 4,"The product of this gene belongs to the SNF2/RAD54 helicase family. It represents the main component of the nucleosome remodeling and deacetylase complex and plays an important role in epigenetic transcriptional repression. Patients with dermatomyositis develop antibodies against this protein. Somatic mutations in this gene are associated with serous endometrial tumors. Alternative splicing results in multiple transcript variants encoding different isoforms. [provided by RefSeq, Jul 2014].",CHD4
ENSG00000171316,55636,20.928823,chromodomain helicase DNA binding protein 7,"This gene encodes a protein that contains several helicase family domains. Mutations in this gene have been found in some patients with the CHARGE syndrome. Two transcript variants encoding different isoforms have been found for this gene. [provided by RefSeq, Oct 2015].",CHD7
ENSG00000148702,3026,19.658693,hyaluronan binding protein 2,"This gene encodes a member of the peptidase S1 family of serine proteases. The encoded preproprotein is secreted by hepatocytes and proteolytically processed to generate heavy and light chains that form the mature heterodimer. Further autoproteolysis leads to smaller, inactive peptides. This extracellular protease binds hyaluronic acid and may play a role in the coagulation and fibrinolysis systems. Mutations in this gene are associated with nonmedullary thyroid cancer and susceptibility to venous thromboembolism. Alternative splicing results in multiple transcript variants, at least one of which encodes a preproprotein that is proteolytically processed. [provided by RefSeq, Jan 2016].",HABP2
ENSG00000176204,80059,20.21244,leucine rich repeat transmembrane neuronal 4,,LRRTM4
ENSG00000157827,114793,20.134708,formin like 2,"This gene encodes a formin-related protein. Formin-related proteins have been implicated in morphogenesis, cytokinesis, and cell polarity. Alternatively spliced transcript variants encoding different isoforms have been described but their full-length nature has yet to be determined. [provided by RefSeq, Jul 2008].",FMNL2
ENSG00000136010,160428,19.216827,aldehyde dehydrogenase 1 family member L2,"This gene encodes a member of both the aldehyde dehydrogenase superfamily and the formyl transferase superfamily. This member is the mitochondrial form of 10-formyltetrahydrofolate dehydrogenase (FDH), which converts 10-formyltetrahydrofolate to tetrahydrofolate and CO2 in an NADP(+)-dependent reaction, and plays an essential role in the distribution of one-carbon groups between the cytosolic and mitochondrial compartments of the cell. Alternatively spliced transcript variants have been found for this gene.[provided by RefSeq, Oct 2010].",ALDH1L2
ENSG00000174429,137735,19.697796,actin binding Rho activating protein,,ABRA
ENSG00000165280,7415,19.212137,valosin containing protein,"This gene encodes a member of the AAA ATPase family of proteins. The encoded protein plays a role in protein degradation, intracellular membrane fusion, DNA repair and replication, regulation of the cell cycle, and activation of the NF-kappa B pathway. This protein forms a homohexameric complex that interacts with a variety of cofactors and extracts ubiquitinated proteins from lipid membranes or protein complexes. Mutations in this gene cause IBMPFD (inclusion body myopathy with paget disease of bone and frontotemporal dementia), ALS (amyotrophic lateral sclerosis) and Charcot-Marie-Tooth disease in human patients. [provided by RefSeq, Aug 2017].",VCP
ENSG00000276043,29128,19.658693,ubiquitin like with PHD and ring finger domains 1,"This gene encodes a member of a subfamily of RING-finger type E3 ubiquitin ligases. The protein binds to specific DNA sequences, and recruits a histone deacetylase to regulate gene expression. Its expression peaks at late G1 phase and continues during G2 and M phases of the cell cycle. It plays a major role in the G1/S transition by regulating topoisomerase IIalpha and retinoblastoma gene expression, and functions in the p53-dependent DNA damage checkpoint. It is regarded as a hub protein for the integration of epigenetic information. This gene is up-regulated in various cancers, and it is therefore considered to be a therapeutic target. Multiple transcript variants encoding different isoforms have been found for this gene. A related pseudogene exists on chromosome 12. [provided by RefSeq, Feb 2014].",UHRF1
ENSG00000266076,ENSG00000266076,21.011843,,,AC004805.1
ENSG00000133962,79820,20.212631,cation channel sperm associated auxiliary subunit beta,,CATSPERB
ENSG00000137868,64220,20.179491,stimulated by retinoic acid 6,"The protein encoded by this gene is a membrane protein involved in the metabolism of retinol. The encoded protein acts as a receptor for retinol/retinol binding protein complexes. This protein removes the retinol from the complex and transports it across the cell membrane. Defects in this gene are a cause of syndromic microphthalmia type 9 (MCOPS9). Several transcript variants encoding a few different isoforms have been found for this gene. [provided by RefSeq, Dec 2008].",STRA6
ENSG00000211445,2878,20.159338,glutathione peroxidase 3,"The protein encoded by this gene belongs to the glutathione peroxidase family, members of which catalyze the reduction of organic hydroperoxides and hydrogen peroxide (H2O2) by glutathione, and thereby protect cells against oxidative damage. Several isozymes of this gene family exist in vertebrates, which vary in cellular location and substrate specificity. This isozyme is secreted, and is abundantly found in plasma. Downregulation of expression of this gene by promoter hypermethylation has been observed in a wide spectrum of human malignancies, including thyroid cancer, hepatocellular carcinoma and chronic myeloid leukemia. This isozyme is also a selenoprotein, containing the rare amino acid selenocysteine (Sec) at its active site. Sec is encoded by the UGA codon, which normally signals translation termination. The 3' UTRs of selenoprotein mRNAs contain a conserved stem-loop structure, designated the Sec insertion sequence (SECIS) element, that is necessary for the recognition of UGA as a Sec codon, rather than as a stop signal. Alternatively spliced transcript variants have been found for this gene. [provided by RefSeq, Jul 2016].",GPX3
ENSG00000137656,84811,20.123207,BUD13 homolog,,BUD13
ENSG00000269028,100462981,20.221514,MT-RNR2 like 2,,MTRNR2L2
ENSG00000238205,347411,20.143496,mitochondrial pyruvate carrier 1 like,,MPC1L
ENSG00000070756,26986,19.211103,poly(A) binding protein cytoplasmic 1,"This gene encodes a poly(A) binding protein. The protein shuttles between the nucleus and cytoplasm and binds to the 3' poly(A) tail of eukaryotic messenger RNAs via RNA-recognition motifs. The binding of this protein to poly(A) promotes ribosome recruitment and translation initiation; it is also required for poly(A) shortening which is the first step in mRNA decay. The gene is part of a small gene family including three protein-coding genes and several pseudogenes.[provided by RefSeq, Aug 2010].",PABPC1
ENSG00000198056,5557,19.690966,DNA primase subunit 1,"The replication of DNA in eukaryotic cells is carried out by a complex chromosomal replication apparatus, in which DNA polymerase alpha and primase are two key enzymatic components. Primase, which is a heterodimer of a small subunit and a large subunit, synthesizes small RNA primers for the Okazaki fragments made during discontinuous DNA replication. The protein encoded by this gene is the small, 49 kDa primase subunit. [provided by RefSeq, Jul 2008].",PRIM1
ENSG00000133026,4628,20.923733,myosin heavy chain 10,"This gene encodes a member of the myosin superfamily. The protein represents a conventional non-muscle myosin; it should not be confused with the unconventional myosin-10 (MYO10). Myosins are actin-dependent motor proteins with diverse functions including regulation of cytokinesis, cell motility, and cell polarity. Mutations in this gene have been associated with May-Hegglin anomaly and developmental defects in brain and heart. Multiple transcript variants encoding different isoforms have been found for this gene. [provided by RefSeq, Dec 2011].",MYH10
ENSG00000172292,253782,19.693619,ceramide synthase 6,,CERS6
ENSG00000169032,5604,19.683325,mitogen-activated protein kinase kinase 1,"The protein encoded by this gene is a member of the dual specificity protein kinase family, which acts as a mitogen-activated protein (MAP) kinase kinase. MAP kinases, also known as extracellular signal-regulated kinases (ERKs), act as an integration point for multiple biochemical signals. This protein kinase lies upstream of MAP kinases and stimulates the enzymatic activity of MAP kinases upon wide variety of extra- and intracellular signals. As an essential component of MAP kinase signal transduction pathway, this kinase is involved in many cellular processes such as proliferation, differentiation, transcription regulation and development. [provided by RefSeq, Jul 2008].",MAP2K1
ENSG00000127928,2792,19.295832,G protein subunit gamma transducin 1,"This gene encodes the gamma subunit of transducin, a guanine nucleotide-binding protein (G protein) that is found in rod outer segments. Transducin, also known as GMPase, mediates the activation of a cyclic GTP-specific (guanosine monophosphate) phosphodiesterase by rhodopsin. [provided by RefSeq, Jul 2016].",GNGT1
ENSG00000196262,5478,19.689104,peptidylprolyl isomerase A,"This gene encodes a member of the peptidyl-prolyl cis-trans isomerase (PPIase) family. PPIases catalyze the cis-trans isomerization of proline imidic peptide bonds in oligopeptides and accelerate the folding of proteins. The encoded protein is a cyclosporin binding-protein and may play a role in cyclosporin A-mediated immunosuppression. The protein can also interact with several HIV proteins, including p55 gag, Vpr, and capsid protein, and has been shown to be necessary for the formation of infectious HIV virions. Multiple pseudogenes that map to different chromosomes have been reported. [provided by RefSeq, Jul 2008].",PPIA
ENSG00000281028,55300,19.690966,phosphatidylinositol 4-kinase type 2 beta,"This gene encodes a member of the type II PI4 kinase protein family. The encoded protein is primarily cytosolic and contributes to overall PI4-kinase activity along with other protein family members. This protein is involved in early T cell activation. [provided by RefSeq, Dec 2016].",PI4K2B
ENSG00000112159,23195,20.127974,midasin AAA ATPase 1,,MDN1
ENSG00000269307,ENSG00000269307,20.926992,,,AC010463.1
ENSG00000163082,130367,20.123585,sphingosine-1-phosphate phosphatase 2,"The protein encoded by this gene is a transmembrane protein that degrades the bioactive signaling molecule sphingosine 1-phosphate. The encoded protein is induced during inflammatory responses and has been shown to be downregulated by the microRNA-31 tumor suppressor. Alternative splice variants encoding different isoforms have been found for this gene. [provided by RefSeq, Mar 2016].",SGPP2
ENSG00000071462,114049,19.632963,BUD23 rRNA methyltransferase and ribosome maturation factor,"This gene encodes a protein containing a nuclear localization signal and an S-adenosyl-L-methionine binding motif typical of methyltransferases, suggesting that the encoded protein may act on DNA methylation. This gene is deleted in Williams syndrome, a multisystem developmental disorder caused by the deletion of contiguous genes at 7q11.23. Alternatively spliced transcript variants have been found. [provided by RefSeq, Feb 2011].",BUD23
ENSG00000261794,728498,20.17958,golgin A8 family member H,,GOLGA8H
ENSG00000106714,79937,20.927956,contactin associated protein like 3,"The protein encoded by this gene belongs to the NCP family of cell-recognition molecules. This family represents a distinct subgroup of the neurexins. NCP proteins mediate neuron-glial interactions in vertebrates and glial-glial contact in invertebrates. The protein encoded by this gene may play a role in cell recognition within the nervous system. Alternatively spliced transcript variants encoding different isoforms have been described but their biological nature has not been determined. [provided by RefSeq, Jul 2008].",CNTNAP3
ENSG00000278637,8359,19.248268,histone cluster 1 H4 family member a,"Histones are basic nuclear proteins that are responsible for the nucleosome structure of the chromosomal fiber in eukaryotes. Two molecules of each of the four core histones (H2A, H2B, H3, and H4) form an octamer, around which approximately 146 bp of DNA is wrapped in repeating units, called nucleosomes. The linker histone, H1, interacts with linker DNA between nucleosomes and functions in the compaction of chromatin into higher order structures. This gene is intronless and encodes a replication-dependent histone that is a member of the histone H4 family. Transcripts from this gene lack polyA tails but instead contain a palindromic termination element. This gene is found in the large histone gene cluster on chromosome 6. [provided by RefSeq, Aug 2015].",HIST1H4A
ENSG00000273899,79159,19.61368,nucleolar protein 12,,NOL12
ENSG00000087586,6790,19.658821,aurora kinase A,"The protein encoded by this gene is a cell cycle-regulated kinase that appears to be involved in microtubule formation and/or stabilization at the spindle pole during chromosome segregation. The encoded protein is found at the centrosome in interphase cells and at the spindle poles in mitosis. This gene may play a role in tumor development and progression. A processed pseudogene of this gene has been found on chromosome 1, and an unprocessed pseudogene has been found on chromosome 10. Multiple transcript variants encoding the same protein have been found for this gene. [provided by RefSeq, Jul 2008].",AURKA
ENSG00000102974,10664,20.220062,CCCTC-binding factor,"This gene is a member of the BORIS + CTCF gene family and encodes a transcriptional regulator protein with 11 highly conserved zinc finger (ZF) domains. This nuclear protein is able to use different combinations of the ZF domains to bind different DNA target sequences and proteins. Depending upon the context of the site, the protein can bind a histone acetyltransferase (HAT)-containing complex and function as a transcriptional activator or bind a histone deacetylase (HDAC)-containing complex and function as a transcriptional repressor. If the protein is bound to a transcriptional insulator element, it can block communication between enhancers and upstream promoters, thereby regulating imprinted expression. Mutations in this gene have been associated with invasive breast cancers, prostate cancers, and Wilms' tumors. Alternatively spliced transcript variants encoding different isoforms have been found for this gene. [provided by RefSeq, Jul 2010].",CTCF
ENSG00000136240,11014,20.212631,KDEL endoplasmic reticulum protein retention receptor 2,"Retention of resident soluble proteins in the lumen of the endoplasmic reticulum (ER) is achieved in both yeast and animal cells by their continual retrieval from the cis-Golgi, or a pre-Golgi compartment. Sorting of these proteins is dependent on a C-terminal tetrapeptide signal, usually lys-asp-glu-leu (KDEL) in animal cells, and his-asp-glu-leu (HDEL) in S. cerevisiae. This process is mediated by a receptor that recognizes, and binds the tetrapeptide-containing protein, and returns it to the ER. In yeast, the sorting receptor encoded by a single gene, ERD2, is a seven-transmembrane protein. Unlike yeast, several human homologs of the ERD2 gene, constituting the KDEL receptor gene family, have been described. KDELR2 was the second member of the family to be identified, and it encodes a protein which is 83% identical to the KDELR1 gene product. Alternative splicing results in multiple transcript variants encoding distinct isoforms. [provided by RefSeq, Jul 2008].",KDELR2
ENSG00000234068,203569,20.919676,PAGE family member 2,,PAGE2
ENSG00000172410,10022,19.659771,insulin like 5,"The protein encoded by this gene contains a classical signature of the insulin superfamily and is highly similar to relaxin 3 (RLN3/INSL7). [provided by RefSeq, Jul 2008].",INSL5
ENSG00000175130,65108,20.920805,MARCKS like 1,"This gene encodes a member of the myristoylated alanine-rich C-kinase substrate (MARCKS) family. Members of this family play a role in cytoskeletal regulation, protein kinase C signaling and calmodulin signaling. The encoded protein affects the formation of adherens junction. Alternative splicing results in multiple transcript variants. Pseudogenes of this gene are located on the long arm of chromosomes 6 and 10. [provided by RefSeq, Jun 2012].",MARCKSL1
ENSG00000060718,1301,19.310446,collagen type XI alpha 1 chain,"This gene encodes one of the two alpha chains of type XI collagen, a minor fibrillar collagen. Type XI collagen is a heterotrimer but the third alpha chain is a post-translationally modified alpha 1 type II chain. Mutations in this gene are associated with type II Stickler syndrome and with Marshall syndrome. A single-nucleotide polymorphism in this gene is also associated with susceptibility to lumbar disc herniation. Multiple transcript variants have been identified for this gene. [provided by RefSeq, Nov 2009].",COL11A1
ENSG00000276600,338382,19.276905,"RAB7B, member RAS oncogene family",,RAB7B
ENSG00000126251,2866,6.75048,G protein-coupled receptor 42 (gene/pseudogene),,GPR42
ENSG00000142615,63036,20.127895,chymotrypsin like elastase 2A,"Elastases form a subfamily of serine proteases that hydrolyze many proteins in addition to elastin. Humans have six elastase genes which encode the structurally similar proteins elastase 1, 2, 2A, 2B, 3A, and 3B. Like most of the human elastases, elastase 2A is secreted from the pancreas as a zymogen. In other species, elastase 2A has been shown to preferentially cleave proteins after leucine, methionine, and phenylalanine residues. [provided by RefSeq, May 2009].",CELA2A
ENSG00000162461,284723,20.159338,solute carrier family 25 member 34,"SLC25A34 belongs to the SLC25 family of mitochondrial carrier proteins (Haitina et al., 2006 [PubMed 16949250]).[supplied by OMIM, Mar 2008].",SLC25A34
ENSG00000121152,23397,20.994858,non-SMC condensin I complex subunit H,"This gene encodes a member of the barr gene family and a regulatory subunit of the condensin complex. This complex is required for the conversion of interphase chromatin into condensed chromosomes. The protein encoded by this gene is associated with mitotic chromosomes, except during the early phase of chromosome condensation. During interphase, the protein has a distinct punctate nucleolar localization. Alternatively spliced transcript variants encoding different proteins have been described. [provided by RefSeq, Jul 2013].",NCAPH
ENSG00000244588,642636,19.69332,RAD21 cohesin complex component like 1,,RAD21L1
ENSG00000131152,ENSG00000131152,20.935274,,,AC010531.1
ENSG00000174611,339855,20.913952,kyphoscoliosis peptidase,"The protein encoded by this gene belongs to the transglutaminase-like superfamily. The protein is involved in the function, maturation and stabilization of the neuromuscular junction and may be required for normal muscle growth. Mutations in this gene are associated with myopathy, myofibrillar, 7. [provided by RefSeq, Apr 2017].",KY
ENSG00000198948,9848,20.179491,microfibril associated protein 3 like,,MFAP3L
ENSG00000167371,112476,19.663004,proline rich transmembrane protein 2,"This gene encodes a transmembrane protein containing a proline-rich domain in its N-terminal half. Studies in mice suggest that it is predominantly expressed in brain and spinal cord in embryonic and postnatal stages. Mutations in this gene are associated with episodic kinesigenic dyskinesia-1. Alternatively spliced transcript variants encoding different isoforms have been found for this gene. [provided by RefSeq, Jan 2012].",PRRT2
ENSG00000185507,3665,18.913103,interferon regulatory factor 7,"IRF7 encodes interferon regulatory factor 7, a member of the interferon regulatory transcription factor (IRF) family. IRF7 has been shown to play a role in the transcriptional activation of virus-inducible cellular genes, including interferon beta chain genes. Inducible expression of IRF7 is largely restricted to lymphoid tissue. Multiple IRF7 transcript variants have been identified, although the functional consequences of these have not yet been established. [provided by RefSeq, Jul 2008].",IRF7
ENSG00000111404,79785,20.221514,RERG like,,RERGL
